sub_num,case_nm,target,iteration,hdiff
16,JS,Mid,28,63.81607
16,JS,Mid,29,93.09213
16,JS,Mid,30,36.14638
16,JS,Far,1,35.56552
16,JS,Far,2,50.81039
16,JS,Far,3,35.49844
16,JS,Far,4,163.1986
16,JS,Far,5,83.00268
16,JS,Far,6,39.60117
16,JS,Far,7,27.18688
16,JS,Far,8,31.33246
16,JS,Far,9,37.84197
16,JS,Far,10,28.56906
16,JS,Far,11,51.00762
16,JS,Far,12,73.33207
16,JS,Far,13,43.16995
16,JS,Far,14,34.16524
16,JS,Far,15,66.38552
16,JS,Far,16,42.24327
16,JS,Far,17,257.2285
16,JS,Far,18,7.635818
16,JS,Far,19,61.33497
16,JS,Far,20,58.80824
16,JS,Far,21,35.56552
16,JS,Far,22,50.81039
16,JS,Far,23,35.49844
16,JS,Far,24,163.1986
16,JS,Far,25,83.00268
16,JS,Far,26,39.60117
16,JS,Far,27,27.18688
16,JS,Far,28,31.33246
16,JS,Far,29,37.84197
16,JS,Far,30,28.56906
16,JS,High,1,78.88561
16,JS,High,2,75.65341
16,JS,High,3,64.44765
16,JS,High,4,69.21252
16,JS,High,5,44.87029
16,JS,High,6,28.94066
16,JS,High,7,70.3929
16,JS,High,8,78.03139
16,JS,High,9,38.57476
16,JS,High,10,38.78896
16,JS,High,11,111.7079
16,JS,High,12,77.85318
16,JS,High,13,138.0248
16,JS,High,14,57.96206
16,JS,High,15,99.2023
16,JS,High,16,100.6422
16,JS,High,17,70.48886
16,JS,High,18,80.39779
16,JS,High,19,59.64124
16,JS,High,20,46.46222
16,JS,High,21,78.88561
16,JS,High,22,75.65341
16,JS,High,23,64.44765
16,JS,High,24,69.21252
16,JS,High,25,44.87029
16,JS,High,26,28.94066
16,JS,High,27,70.3929
16,JS,High,28,78.03139
16,JS,High,29,38.57476
16,JS,High,30,38.78896
