sub_num,case_nm,target,iteration,time
16,AB,Far,5,1.4889
16,AB,Far,6,1.8333
16,AB,Far,7,2.3
16,AB,Far,8,2.2111
16,AB,Far,9,1.7778
16,AB,Far,10,1.7444
16,AB,Far,11,1.9778
16,AB,Far,12,1.9778
16,AB,Far,13,2.4
16,AB,Far,14,2.1333
16,AB,Far,15,1.7333
16,AB,Far,16,2.8444
16,AB,Far,17,2.3222
16,AB,Far,18,1.9222
16,AB,Far,19,2.8778
16,AB,Far,20,1.8556
16,AB,Far,21,2.4111
16,AB,Far,22,1.7556
16,AB,Far,23,1.6889
16,AB,Far,24,1.6444
16,AB,Far,25,1.4889
16,AB,Far,26,1.8333
16,AB,Far,27,2.3
16,AB,Far,28,2.2111
16,AB,Far,29,1.7778
16,AB,Far,30,1.7444
16,AB,High,1,1.4778
16,AB,High,2,1.7889
16,AB,High,3,1.9667
16,AB,High,4,1.8
16,AB,High,5,1.7667
16,AB,High,6,1.7667
16,AB,High,7,1.7222
16,AB,High,8,1.7
16,AB,High,9,1.9667
16,AB,High,10,1.3
16,AB,High,11,2.2222
16,AB,High,12,1.8889
16,AB,High,13,2.3667
16,AB,High,14,2.1444
16,AB,High,15,1.8667
16,AB,High,16,2.2556
16,AB,High,17,1.8556
16,AB,High,18,1.5889
16,AB,High,19,1.8333
16,AB,High,20,1.6667
16,AB,High,21,1.4778
16,AB,High,22,1.7889
16,AB,High,23,1.9667
16,AB,High,24,1.8
16,AB,High,25,1.7667
16,AB,High,26,1.7667
16,AB,High,27,1.7222
16,AB,High,28,1.7
16,AB,High,29,1.9667
16,AB,High,30,1.3
16,EP,Close,1,3.1555
16,EP,Close,2,2.4222
16,EP,Close,3,1.7
16,EP,Close,4,1.8667
16,EP,Close,5,1.3
16,EP,Close,6,2.1
16,EP,Close,7,5.1889
16,EP,Close,8,2.4556
16,EP,Close,9,2.0556
16,EP,Close,10,6.2556
16,EP,Close,11,2.8889
16,EP,Close,12,5.4667
16,EP,Close,13,2.2
16,EP,Close,14,2.6111
16,EP,Close,15,2.6889
16,EP,Close,16,1.7889
16,EP,Close,17,3.8
16,EP,Close,18,2.4778
16,EP,Close,19,2.4778
16,EP,Close,20,3.8778
16,EP,Close,21,3.1555
16,EP,Close,22,2.4222
16,EP,Close,23,1.7
16,EP,Close,24,1.8667
16,EP,Close,25,1.3
16,EP,Close,26,2.1
16,EP,Close,27,5.1889
16,EP,Close,28,2.4556
16,EP,Close,29,2.0556
16,EP,Close,30,6.2556
16,EP,Mid,1,3.4555
16,EP,Mid,2,2.1889
16,EP,Mid,3,2.6556
16,EP,Mid,4,5.1667
16,EP,Mid,5,2.4222
16,EP,Mid,6,2.0556
16,EP,Mid,7,2
16,EP,Mid,8,1.7778
16,EP,Mid,9,2.2111
16,EP,Mid,10,1.8444
16,EP,Mid,11,2.2667
16,EP,Mid,12,2.7
16,EP,Mid,13,2.6889
16,EP,Mid,14,2.6889
16,EP,Mid,15,2.2
16,EP,Mid,16,3.7333
16,EP,Mid,17,1.9111
16,EP,Mid,18,2.0778
16,EP,Mid,19,2.6667
16,EP,Mid,20,1.8556
16,EP,Mid,21,3.4555
16,EP,Mid,22,2.1889
16,EP,Mid,23,2.6556
16,EP,Mid,24,5.1667
16,EP,Mid,25,2.4222
16,EP,Mid,26,2.0556
16,EP,Mid,27,2
16,EP,Mid,28,1.7778
16,EP,Mid,29,2.2111
16,EP,Mid,30,1.8444
16,EP,Far,1,2.5
16,EP,Far,2,8.1112
16,EP,Far,3,2.2222
16,EP,Far,4,2.5333
16,EP,Far,5,5.9333
16,EP,Far,6,2.5333
16,EP,Far,7,2.7556
16,EP,Far,8,3.9444
16,EP,Far,9,4.6111
16,EP,Far,10,2.8778
16,EP,Far,11,2
16,EP,Far,12,3.4889
16,EP,Far,13,2.6333
16,EP,Far,14,3.7111
16,EP,Far,15,2.9444
16,EP,Far,16,2.5111
16,EP,Far,17,2.4889
16,EP,Far,18,3.1
16,EP,Far,19,2.9333
16,EP,Far,20,2.9667
16,EP,Far,21,2.5
16,EP,Far,22,8.1112
16,EP,Far,23,2.2222
16,EP,Far,24,2.5333
16,EP,Far,25,5.9333
16,EP,Far,26,2.5333
16,EP,Far,27,2.7556
16,EP,Far,28,3.9444
16,EP,Far,29,4.6111
16,EP,Far,30,2.8778
16,EP,High,1,3.7111
16,EP,High,2,4.76666
