sub_num,case_nm,s_h_close,s_h_mid,s_h_far,s_h_high
5,JS,-2.3726,-1.8389,-1.7862,-2.368
5,JS,-3.131,-1.737,-1.9205,-1.7952
5,JS,-2.6168,-1.5086,-1.6875,-1.7984
5,JS,-1.6587,-2.9935,-2.5493,-2.1765
5,JS,-2.7001,-1.4765,-1.5102,-1.7245
5,JS,-1.8372,-1.5806,-1.9564,-2.8985
6,AB,-1.5249,-1.4036,-1.5827,-1.4617
6,AB,-1.5317,-1.6101,-1.4092,-1.4837
6,AB,-1.5363,-1.4775,-1.4528,-1.4551
6,AB,-1.5526,-1.607,-1.4325,-1.3898
6,AB,-1.5262,-1.7239,-1.4245,-1.3974
6,AB,-1.5624,-1.4744,-1.4177,-1.3922
6,AB,-1.5642,-1.4053,-1.4303,-1.4668
6,AB,-1.4717,-1.3964,-1.461,-1.4557
6,AB,-1.3955,-1.4103,-1.4726,-1.4218
6,AB,-1.3918,-1.4528,-1.4027,-1.3988
6,EP,-2.2304,-2.0166,-2.2523,-1.5672
6,EP,-1.6259,-1.631,-1.7476,-2.3064
6,EP,-1.8648,-1.5968,-1.6634,-1.595
6,EP,-1.7691,-1.587,-1.8147,-1.7519
6,EP,-2.3432,-1.7134,-3.196,-1.681
6,EP,-4.4518,-1.6598,-4.3444,-1.7994
6,EP,-7.2673,-1.6541,-2.1179,-1.662
6,EP,-1.6744,-1.7084,-3.5675,-1.507
6,EP,-1.9396,-2.621,-1.9433,-1.654
6,EP,-2.4699,-1.5855,-2.4205,-2.3413
6,TS,-2.1357,-1.6855,-2.1313,-1.6593
6,TS,-1.916,-1.8993,-2.0306,-2.1022
6,TS,-1.852,-1.6143,-1.9558,-1.5116
6,TS,-1.9633,-1.658,-1.7233,-1.7861
6,TS,-2.0332,-1.4218,-2.0246,-1.8687
6,TS,-2.8933,-1.7891,-1.8529,-1.6733
6,TS,-2.0006,-1.6316,-1.7517,-1.5318
6,TS,-2.073,-1.4975,-1.8655,-1.7505
6,TS,-2.0584,-1.8143,-1.6238,-1.472
6,TS,-3.9325,-2.5364,-1.7715,-1.4703
6,JS,-1.8109,-2.1603,-1.5408,-1.6802
6,JS,-1.7375,-1.6219,-1.4919,-1.6267
6,JS,-3.394,-1.7747,-1.7998,-1.5528
6,JS,-1.9121,-1.4912,-1.5548,-1.5628
6,JS,-3.0524,-2.4307,-1.4783,-2.4768
6,JS,-2.9169,-1.6693,-1.5199,-2.428
6,JS,-2.886,-1.7808,-1.5077,-2.0822
6,JS,-2.0914,-1.6363,-1.4418,-2.0603
6,JS,-2.03,-1.7499,-1.5984,-1.6871
6,JS,-2.0781,-1.6244,-1.4756,-2.2453
7,AB,-1.4032,-1.4631,-1.4978,-1.5132
7,AB,-1.4031,-1.7132,-1.5066,-1.4498
7,AB,-1.398,-1.4474,-1.4983,-1.7
7,AB,-1.4058,-1.4147,-1.5976,-1.4587
7,AB,-1.6401,-1.4901,-1.3957,-1.5052
7,AB,-1.4268,-1.4506,-1.3899,-1.4834
7,AB,-1.5114,-1.5274,-1.4813,-1.5012
7,AB,-1.6197,-1.396,-1.4124,-1.3945
7,AB,-1.4482,-1.6108,-1.434,-1.5068
7,AB,-1.4633,-1.409,-1.5292,-1.4066
7,EP,-2.0354,-1.5515,-1.5725,-1.4719
7,EP,-1.5218,-1.5535,-1.8703,-1.4457
7,EP,-1.7903,-1.5688,-2.0316,-1.6052
7,EP,-2.0129,-1.5812,-2.2399,-1.4559
7,EP,-1.8575,-1.7137,-2.2763,-1.5421
7,EP,-1.8979,-1.5632,-1.7068,-1.7922
7,EP,-1.9753,-1.6136,-1.748,-1.7321
7,EP,-1.7889,-1.5266,-2.8246,-1.5364
7,EP,-1.7331,-1.4063,-1.7534,-1.4454
7,EP,-1.5566,-1.4805,-2.4793,-1.5227
7,TS,-1.8899,-1.7363,-2.2062,-2.6936
7,TS,-1.8342,-1.9169,-1.9719,-1.7623
7,TS,-1.8602,-1.5731,-1.635,-1.7696
7,TS,-3.8071,-1.9536,-1.7418,-2.1029
7,TS,-2.1709,-1.7379,-2.1434,-2.3791
7,TS,-2.1938,-2.4513,-1.9002,-2.2763
7,TS,-1.9154,-1.8931,-1.6778,-2.2505
7,TS,-2.059,-1.6443,-1.7012,-2.1933
7,TS,-2.1503,-1.5761,-1.6349,-2.457
7,TS,-2.0556,-2.1949,-1.7189,-1.7315
7,JS,-1.8671,-1.749,-1.6972,-1.7699
7,JS,-2.2026,-1.5724,-1.9616,-1.5187
7,JS,-1.9945,-1.6996,-1.638,-1.5176
7,JS,-2.0447,-1.9113,-1.8787,-1.7655
7,JS,-2.2158,-1.6001,-2.1682,-1.6768
7,JS,-1.6377,-1.7947,-1.5648,-1.9324
7,JS,-1.6362,-1.8152,-1.7142,-1.4937
7,JS,-1.7331,-1.4582,-1.6302,-1.6583
7,JS,-1.5811,-1.982,-2.159,-1.5957
7,JS,-1.8808,-1.6947,-2.708,-1.5398
8,AB,-1.5376,-1.4528,-1.5547,-1.5767
8,AB,-1.7573,-2.5771,-1.5091,-1.6555
8,AB,-1.6329,-1.8742,-1.5348,-1.6175
8,AB,-1.5601,-1.759,-1.497,-1.4159
8,AB,-1.7897,-1.858,-1.5271,-1.6509
8,AB,-1.6075,-1.7149,-1.3971,-1.6784
8,AB,-1.5391,-1.5598,-1.3924,-1.5056
8,AB,-1.8464,-1.5028,-1.5542,-1.6976
8,AB,-1.6938,-1.6627,-1.5814,-1.5434
8,AB,-1.6488,-1.4228,-1.4346,-1.5166
8,EP,-2.0855,-1.526,-2.1303,-1.8772
8,EP,-2.7517,-1.6284,-1.9116,-2.0484
8,EP,-1.9659,-1.5525,-1.747,-2.417
8,EP,-2.5575,-1.6513,-2.2724,-2.0621
8,EP,-2.6101,-1.5385,-2.0108,-3.3919
8,EP,-1.9754,-1.5236,-1.7736,-1.7277
8,EP,-1.8713,-1.602,-4.8153,-1.5274
8,EP,-2.2576,-1.9232,-1.658,-3.1584
8,EP,-3.3846,-1.4242,-1.559,-1.7454
8,EP,-2.063,-1.7594,-1.9326,-1.8471
8,TS,-1.8426,-2.3325,-2.6607,-1.4988
8,TS,-1.9715,-2.1173,-2.342,-2.2432
8,TS,-2.0137,-2.4119,-2.9214,-2.0346
8,TS,-2.132,-1.5657,-2.5946,-1.6744
8,TS,-2.296,-1.8862,-2.3512,-2.5653
8,TS,-2.2339,-2.2268,-2.8712,-1.8809
8,TS,-2.6086,-1.6032,-2.6748,-1.7413
8,TS,-2.1219,-1.5606,-2.1794,-1.6742
8,TS,-1.8933,-1.9242,-2.496,-1.9094
8,TS,-2.1164,-2.3066,-2.6249,-2.2915
8,JS,-2.1033,-2.2136,-1.9131,-1.6886
8,JS,-1.898,-1.6147,-1.8965,-1.9731
8,JS,-1.9826,-1.9151,-2.2632,-3.4379
8,JS,-1.9104,-2.124,-2.3603,-2.2101
8,JS,-2.1303,-1.5654,-2.3564,-1.9124
8,JS,-1.7732,-1.9151,-2.4438,-2.181
8,JS,-3.1877,-1.8964,-2.2877,-1.8116
8,JS,-2.1035,-1.8476,-2.1533,-2.4362
8,JS,-1.7776,-1.6685,-2.5064,-1.9394
8,JS,-2.0179,-1.9055,-2.2517,-2.254
9,AB,-1.4103,-1.3947,-1.4948,-1.4306
9,AB,-1.6242,-1.5034,-1.906,-1.5576
9,AB,-1.7803,-1.5154,-1.5572,-1.4668
9,AB,-1.592,-1.4795,-1.4384,-1.4618
9,AB,-1.4024,-1.4115,-1.5201,-1.4821
9,AB,-1.5062,-1.4812,-1.5003,-1.4576
9,AB,-1.656,-1.3913,-1.8848,-1.4728
9,AB,-1.4089,-1.5637,-1.625,-1.4254
9,AB,-1.8065,-1.6986,-1.5467,-1.4829
9,AB,-1.3933,-1.7223,-1.5076,-1.4728
9,EP,-3.8488,-4.3174,-3.0219,-4.4848
9,EP,-2.7342,-3.3032,-4.2795,-2.6702
9,EP,-2.3323,-2.4863,-3.245,-2.0986
9,EP,-2.8391,-4.2039,-2.9557,-1.9587
9,EP,-2.982,-2.3053,-11.5529,-3.1578
9,EP,-2.5732,-2.0561,-2.1128,-2.3031
9,EP,-5.1542,-3.0641,-2.8252,-1.9377
9,EP,-2.2415,-2.5496,-5.9483,-3.7591
9,EP,-2.9175,-2.5619,-4.2974,-1.9072
9,EP,-2.5848,-10.9978,-3.6775,-3.137
9,TS,-1.9049,-1.8991,-1.8507,-1.7363
9,TS,-1.9098,-2.032,-2.0135,-1.8793
9,TS,-2.0209,-2.2263,-1.9418,-1.5997
9,TS,-2.6032,-1.6938,-2.2861,-1.681
9,TS,-2.09,-2.7694,-2.3834,-1.5133
9,TS,-2.455,-1.78,-2.1527,-1.5819
9,TS,-2.5298,-1.7406,-2.5505,-1.7014
9,TS,-3.145,-2.0381,-2.5122,-1.585
9,TS,-4.0414,-2.1319,-3.1322,-1.9704
9,TS,-2.9869,-2.003,-2.8658,-2.1871
9,JS,-2.924,-2.0396,-2.7159,-1.6948
9,JS,-4.7558,-2.2396,-2.2387,-1.6731
9,JS,-2.0906,-1.8916,-2.8665,-2.5126
9,JS,-5.078,-2.1004,-2.6183,-3.586
