sub_num,case_nm,d_sh_close,d_sh_mid,d_sh_far,d_sh_high
4,AB,0.0018708,0.10784,0.13552,0.066255
4,AB,0.0042508,0.1029,0.14771,0.071917
4,AB,0.014885,0.079982,0.13281,0.076392
4,AB,0.013859,0.12479,0.13578,0.055675
4,AB,0.011424,0.11491,0.13923,0.047825
4,AB,-0.002383,0.10867,0.12896,0.073168
4,AB,0.01153,0.13072,0.15133,0.066604
4,AB,0.0033702,0.072309,0.13969,0.046487
4,AB,-0.015413,0.097684,0.13552,0.043897
4,EP,-0.012335,0.098611,0.10271,0.08701
4,EP,0.02744,0.065144,0.12547,0.094039
4,EP,0.016063,0.052726,0.063497,0.090195
4,EP,0.027257,0.057191,0.10418,0.096747
4,EP,0.0092987,0.074694,0.096371,0.10415
4,EP,-0.020956,0.078281,0.069027,0.10157
4,EP,0.016138,0.10127,0.14988,0.086734
4,EP,0.00042972,0.11898,0.090849,0.10328
4,EP,-0.0063121,0.10002,0.10703,0.069834
4,EP,0.019525,0.080555,0.091354,0.09396
4,TS,0.053726,0.093464,0.13603,0.10669
4,TS,0.051508,0.038814,0.12641,0.11369
4,TS,-0.013673,0.016567,0.11885,0.07361
4,TS,-0.00012292,0.13294,0.11512,0.044955
4,TS,-0.0094307,0.065561,0.11397,0.077071
4,TS,0.046031,0.044634,0.10611,0.064444
4,TS,-0.0065006,0.035822,0.059276,0.10203
4,TS,-0.013402,0.044401,0.11342,0.068166
4,TS,-0.022377,0.1456,0.1585,0.1177
4,TS,0.020383,0.037008,0.1188,0.086455
4,JS,0.011468,0.089675,0.077746,0.079628
4,JS,0.011087,0.022244,0.096921,0.12629
4,JS,0.0083862,0.015575,0.10125,0.094635
4,JS,-0.0063693,0.10688,0.089552,0.079121
4,JS,-0.056701,0.037428,0.096607,0.045668
4,JS,0.0090271,0.069507,0.13288,0.090658
4,JS,-0.0036524,0.052443,0.11759,0.091619
4,JS,-0.01531,0.090792,0.14577,0.085802
4,JS,0.031705,0.0091928,0.068583,0.067587
4,JS,-0.011906,0.01055,0.12513,0.081474
5,AB,-0.002632,0.071571,0.07532,0.049208
5,AB,-0.0045381,0.031595,0.083125,0.034838
5,AB,-0.001676,0.017907,0.072526,0.059066
5,AB,0.00067719,0.042284,0.082389,0.049262
5,AB,-0.0015711,0.051679,0.070085,0.041314
5,AB,0.00092759,0.069557,0.076044,0.038758
5,AB,-0.00030396,0.066839,0.069026,0.02064
5,AB,0.0040386,0.079742,0.089617,0.054445
5,AB,-0.0018562,0.066832,0.075044,0.054559
5,AB,-0.0066094,0.074932,0.076142,0.050578
5,EP,0.0099399,0.080543,0.074491,0.069261
5,EP,-0.0024163,0.099469,0.070411,0.048376
5,EP,0.0016682,0.060141,0.094171,0.08599
5,EP,0.006753,0.08581,0.095804,0.059308
5,EP,0.0094508,0.081916,0.096502,0.053726
5,EP,0.0015668,0.095519,0.057982,0.09165
5,EP,0.025828,0.090534,0.10218,0.074562
5,EP,0.0085094,0.058035,0.10746,0.072532
5,EP,0.011026,0.017751,0.080916,0.0955
5,EP,0.033735,0.084409,0.070269,0.068216
5,TS,0.016296,0.054601,0.060732,0.072909
5,TS,-0.0036342,0.077521,0.060078,0.074652
5,TS,0.0068714,0.06586,0.063075,0.074969
5,TS,0.010924,0.07732,0.04736,0.093525
5,TS,-0.0035638,0.082537,0.053521,0.065539
5,TS,-0.0028863,0.079476,0.048553,0.097617
5,TS,0.0069096,0.07075,0.059211,0.055502
5,TS,0.0032875,0.087268,0.034017,0.084709
5,TS,0.01079,0.077469,0.059893,0.082727
5,TS,0.00065484,0.07669,0.053124,0.048367
5,JS,0.034149,0.089281,0.074092,0.067854
5,JS,0.022224,0.070745,0.048325,0.070931
5,JS,0.00045153,0.0684,0.03763,0.099447
5,JS,0.004621,0.071984,0.01829,0.076355
5,JS,0.023709,0.11576,0.018682,0.073395
5,JS,0.029395,0.058521,0.044034,0.057076
5,JS,0.023556,0.074352,0.068989,0.098985
5,JS,0.04634,0.074307,0.049085,0.065036
5,JS,0.0065316,0.095512,0.078115,0.096774
5,JS,0.019411,0.10546,0.065362,0.095352
6,AB,-0.0068586,0.078387,0.05225,0.061075
6,AB,0.0059284,0.081887,0.050851,0.055586
6,AB,-0.0057587,0.072899,0.05788,0.060736
6,AB,-0.0045201,0.069239,0.056362,0.058828
6,AB,-0.010945,0.068934,0.03481,0.065261
6,AB,0.0062563,0.059745,0.058233,0.05743
6,AB,-0.0050119,0.067587,0.054627,0.068956
6,AB,-0.0065738,0.057911,0.049888,0.066407
6,AB,-0.0057156,0.058984,0.050415,0.064086
6,AB,0.0086951,0.058248,0.051072,0.062176
6,EP,-0.0032686,0.067627,0.083528,0.051658
6,EP,0.0074602,0.052023,0.098552,0.01149
6,EP,-0.0047229,0.065722,0.02727,0.052846
6,EP,0.0042073,0.032793,0.05482,0.050049
6,EP,0.003572,0.047149,0.049762,0.063515
6,EP,0.0023196,0.056279,0.049887,0.04929
6,EP,0.021567,0.082578,0.051628,0.079835
6,EP,-0.013927,0.042046,0.045015,0.073619
6,EP,-0.0069941,0.068207,0.099759,0.073418
6,EP,-0.0042916,0.084572,0.093277,0.075612
6,TS,-0.0096364,0.03531,-0.0091529,0.015356
6,TS,-0.01002,0.067887,0.058016,0.014754
6,TS,-0.0071568,0.05148,0.056415,0.036229
6,TS,0.0037241,0.039987,0.072084,0.013082
6,TS,-0.0021253,0.03976,0.066223,-0.0017539
6,TS,-0.0016924,0.070514,0.06172,0.019035
6,TS,-0.011222,0.030181,0.049481,0.019949
6,TS,0.0022035,0.049065,0.027565,0.01815
6,TS,-0.0070926,0.063519,0.063372,0.016248
6,TS,0.0033618,-0.0025893,0.068904,0.023355
6,JS,-0.0014445,0.048182,0.058856,0.058633
6,JS,-0.012536,0.087189,0.031976,0.067019
6,JS,-0.015607,0.062268,0.03909,0.066661
6,JS,-0.016886,0.08175,0.039608,0.055388
6,JS,-0.0058195,0.01062,0.043538,0.047423
6,JS,-0.0074858,0.068418,0.037429,0.059043
6,JS,0.012192,0.048267,0.037716,0.083994
6,JS,0.0080974,0.10113,0.038365,0.062575
6,JS,-0.018763,0.058717,0.046974,0.057254
6,JS,0.0089178,0.054558,0.049441,0.066592
7,AB,0.0064327,0.096187,0.10517,0.035947
7,AB,0.0013227,0.08265,0.085449,0.043924
7,AB,-0.018624,0.078541,0.09254,0.027837
7,AB,-0.015408,0.10059,0.094882,0.042682
7,AB,0.0001566,0.11502,0.079345,0.029947
7,AB,-0.00040736,0.13295,0.076238,0.042424
7,AB,0.0033614,0.089983,0.07875,0.046063
7,AB,-0.0015936,0.083162,0.095635,0.049997
7,AB,-0.0088856,0.091115,0.089452,0.031024
7,AB,-0.0089512,0.090806,0.074233,0.044618
7,EP,-0.009292,0.087542,0.085995,0.084979
7,EP,0.004423,0.065786,0.063042,0.063542
7,EP,-0.019345,0.10156,0.063676,0.090052
7,EP,0.0080631,0.082211,0.064823,0.098013
7,EP,0.026893,0.097103,0.074431,0.067803
7,EP,0.0072176,0.10933,0.087515,0.080971
