sub_num,case_nm,target,d_sh
13,JS,Close,0.016198
14,AB,Close,0.0039168
14,AB,Close,0.016311
14,AB,Close,0.0085714
14,AB,Close,0.0036133
14,AB,Close,0.0087955
14,AB,Close,0.0027845
14,AB,Close,0.0056419
14,AB,Close,0.0040431
14,AB,Close,0.0071096
14,AB,Close,0.0058158
14,EP,Close,0.027049
14,EP,Close,0.02974
14,EP,Close,0.022423
14,EP,Close,0.022889
14,EP,Close,-0.011635
14,EP,Close,0.012319
14,EP,Close,-0.0043324
14,EP,Close,0.031934
14,EP,Close,0.019549
14,EP,Close,0.0015043
14,TS,Close,0.028494
14,TS,Close,0.039248
14,TS,Close,0.027417
14,TS,Close,0.037875
14,TS,Close,0.01303
14,TS,Close,0.027474
14,TS,Close,0.0087542
14,TS,Close,0.020939
14,TS,Close,0.0063174
14,TS,Close,-0.0041123
14,JS,Close,0.0020913
14,JS,Close,-0.0020642
14,JS,Close,0.006962
14,JS,Close,0.020581
14,JS,Close,0.0098794
14,JS,Close,0.005736
14,JS,Close,0.011736
14,JS,Close,-0.0037768
14,JS,Close,-0.0069635
14,JS,Close,0.034515
15,AB,Close,0.0076994
15,AB,Close,0.010723
15,AB,Close,0.015802
15,AB,Close,0.010753
15,AB,Close,0.0020065
15,AB,Close,0.0079022
15,AB,Close,0.007047
15,AB,Close,0.0058375
15,AB,Close,0.0078617
15,AB,Close,0.0089787
15,EP,Close,0.064733
15,EP,Close,0.009641
15,EP,Close,0.057731
15,EP,Close,0.0065536
15,EP,Close,0.046528
15,EP,Close,-0.0018492
15,EP,Close,-0.0069596
15,EP,Close,-0.0049614
15,EP,Close,0.0071013
15,EP,Close,0.010743
15,TS,Close,-0.0026556
15,TS,Close,-0.011785
15,TS,Close,-0.021112
15,TS,Close,-0.0028647
15,TS,Close,0.0047865
15,TS,Close,0.0067526
15,TS,Close,0.016391
15,TS,Close,0.010161
15,TS,Close,0.0073691
15,TS,Close,0.012896
15,JS,Close,0.0036064
15,JS,Close,0.0017798
15,JS,Close,0.011134
15,JS,Close,0.061591
15,JS,Close,-0.0017223
15,JS,Close,-0.01194
15,JS,Close,-0.0066577
15,JS,Close,-0.0066987
15,JS,Close,-0.0053028
15,JS,Close,-0.0098983
1,AB,Mid,0.058523
1,AB,Mid,0.079035
1,AB,Mid,0.074214
1,AB,Mid,0.078148
1,AB,Mid,0.094331
1,AB,Mid,0.083419
1,AB,Mid,0.085606
1,AB,Mid,0.087265
1,AB,Mid,0.0802
1,AB,Mid,0.065559
1,EP,Mid,0.085169
1,EP,Mid,0.10971
1,EP,Mid,0.059077
1,EP,Mid,0.054663
1,EP,Mid,0.11041
1,EP,Mid,0.089967
1,EP,Mid,0.081472
1,EP,Mid,0.091369
1,EP,Mid,0.080866
1,EP,Mid,0.055866
1,TS,Mid,0.073855
1,TS,Mid,0.073483
1,TS,Mid,0.079916
1,TS,Mid,0.093663
1,TS,Mid,0.060295
1,TS,Mid,0.065091
1,TS,Mid,0.068075
1,TS,Mid,0.050738
1,TS,Mid,0.093224
1,TS,Mid,0.058853
1,JS,Mid,0.070732
1,JS,Mid,0.075824
1,JS,Mid,0.063063
1,JS,Mid,0.10949
1,JS,Mid,0.071358
1,JS,Mid,0.095069
1,JS,Mid,0.080279
1,JS,Mid,0.081795
1,JS,Mid,0.10146
1,JS,Mid,0.07779
2,AB,Mid,0.1118
2,AB,Mid,0.06705
2,AB,Mid,0.072999
2,AB,Mid,0.087838
2,AB,Mid,0.086242
2,AB,Mid,0.085654
2,AB,Mid,0.074273
2,AB,Mid,0.077212
2,AB,Mid,0.068372
2,AB,Mid,0.071473
2,EP,Mid,0.10926
2,EP,Mid,0.099338
2,EP,Mid,0.056153
2,EP,Mid,0.077133
2,EP,Mid,0.088075
2,EP,Mid,0.082556
2,EP,Mid,0.099212
2,EP,Mid,0.091399
2,EP,Mid,0.053325
2,EP,Mid,0.081963
2,TS,Mid,0.08903
2,TS,Mid,0.063529
2,TS,Mid,0.046997
2,TS,Mid,0.084974
2,TS,Mid,0.12508
2,TS,Mid,0.11046
2,TS,Mid,0.088289
2,TS,Mid,0.11054
2,TS,Mid,0.049376
2,TS,Mid,0.087719
2,JS,Mid,0.082147
2,JS,Mid,0.08698
2,JS,Mid,0.070738
2,JS,Mid,0.080009
2,JS,Mid,0.081896
2,JS,Mid,0.081498
2,JS,Mid,0.095461
2,JS,Mid,0.08283
2,JS,Mid,0.087428
2,JS,Mid,0.079925
3,AB,Mid,0.078444
3,AB,Mid,0.081302
3,AB,Mid,0.086623
3,AB,Mid,0.088242
3,AB,Mid,0.081759
3,AB,Mid,0.08432
3,AB,Mid,0.08577
3,AB,Mid,0.077473
3,AB,Mid,0.079854
3,AB,Mid,0.074851
3,EP,Mid,0.083779
3,EP,Mid,0.10001
3,EP,Mid,0.037007
3,EP,Mid,0.12828
3,EP,Mid,0.1003
3,EP,Mid,0.10035
3,EP,Mid,0.11092
3,EP,Mid,0.07545
3,EP,Mid,0.088825
3,EP,Mid,0.11153
3,TS,Mid,0.04743
3,TS,Mid,0.035977
3,TS,Mid,-0.0089222
3,TS,Mid,0.061518
3,TS,Mid,0.052205
3,TS,Mid,0.061358
3,TS,Mid,0.044015
3,TS,Mid,0.062149
3,TS,Mid,0.072631
3,TS,Mid,0.063721
3,JS,Mid,0.071084
3,JS,Mid,0.044075
3,JS,Mid,0.039454
3,JS,Mid,0.065651
3,JS,Mid,0.072006
3,JS,Mid,0.047324
3,JS,Mid,0.047632
3,JS,Mid,0.043727
3,JS,Mid,0.03173
3,JS,Mid,0.064479
4,AB,Mid,0.1347
4,AB,Mid,0.10784
4,AB,Mid,0.1029
4,AB,Mid,0.079982
4,AB,Mid,0.12479
4,AB,Mid,0.11491
4,AB,Mid,0.10867
4,AB,Mid,0.13072
4,AB,Mid,0.072309
4,AB,Mid,0.097684
4,EP,Mid,0.098611
4,EP,Mid,0.065144
4,EP,Mid,0.052726
4,EP,Mid,0.057191
4,EP,Mid,0.074694
4,EP,Mid,0.078281
4,EP,Mid,0.10127
4,EP,Mid,0.11898
4,EP,Mid,0.10002
4,EP,Mid,0.080555
4,TS,Mid,0.093464
4,TS,Mid,0.038814
4,TS,Mid,0.016567
4,TS,Mid,0.13294
4,TS,Mid,0.065561
4,TS,Mid,0.044634
4,TS,Mid,0.035822
4,TS,Mid,0.044401
4,TS,Mid,0.1456
4,TS,Mid,0.037008
4,JS,Mid,0.089675
4,JS,Mid,0.022244
4,JS,Mid,0.015575
4,JS,Mid,0.10688
4,JS,Mid,0.037428
4,JS,Mid,0.069507
4,JS,Mid,0.052443
4,JS,Mid,0.090792
4,JS,Mid,0.0091928
4,JS,Mid,0.01055
5,AB,Mid,0.071571
5,AB,Mid,0.031595
5,AB,Mid,0.017907
5,AB,Mid,0.042284
5,AB,Mid,0.051679
5,AB,Mid,0.069557
5,AB,Mid,0.066839
5,AB,Mid,0.079742
5,AB,Mid,0.066832
5,AB,Mid,0.074932
5,EP,Mid,0.080543
5,EP,Mid,0.099469
5,EP,Mid,0.060141
5,EP,Mid,0.08581
5,EP,Mid,0.081916
5,EP,Mid,0.095519
5,EP,Mid,0.090534
5,EP,Mid,0.058035
5,EP,Mid,0.017751
5,EP,Mid,0.084409
5,TS,Mid,0.054601
5,TS,Mid,0.077521
5,TS,Mid,0.06586
5,TS,Mid,0.07732
5,TS,Mid,0.082537
5,TS,Mid,0.079476
5,TS,Mid,0.07075
5,TS,Mid,0.087268
5,TS,Mid,0.077469
5,TS,Mid,0.07669
5,JS,Mid,0.089281
5,JS,Mid,0.070745
5,JS,Mid,0.0684
5,JS,Mid,0.071984
5,JS,Mid,0.11576
5,JS,Mid,0.058521
5,JS,Mid,0.074352
5,JS,Mid,0.074307
5,JS,Mid,0.095512
5,JS,Mid,0.10546
6,AB,Mid,0.078387
6,AB,Mid,0.081887
6,AB,Mid,0.072899
6,AB,Mid,0.069239
6,AB,Mid,0.068934
6,AB,Mid,0.059745
6,AB,Mid,0.067587
6,AB,Mid,0.057911
6,AB,Mid,0.058984
6,AB,Mid,0.058248
6,EP,Mid,0.067627
6,EP,Mid,0.052023
6,EP,Mid,0.065722
6,EP,Mid,0.032793
6,EP,Mid,0.047149
6,EP,Mid,0.056279
6,EP,Mid,0.082578
6,EP,Mid,0.042046
6,EP,Mid,0.068207
6,EP,Mid,0.084572
6,TS,Mid,0.03531
6,TS,Mid,0.067887
6,TS,Mid,0.05148
6,TS,Mid,0.039987
6,TS,Mid,0.03976
6,TS,Mid,0.070514
