sub_num,case_nm,target,h_diff
11,JS,Close,49.9327
11,JS,Close,32.2297
11,JS,Close,17.2502
11,JS,Close,22.8444
11,JS,Close,24.3001
12,EP,Close,56.6921
12,EP,Close,25.6923
12,EP,Close,25.7524
12,EP,Close,20.1762
12,EP,Close,13.3186
12,EP,Close,12.5261
12,EP,Close,19.6556
12,EP,Close,18.4909
12,EP,Close,11.4859
12,EP,Close,16.683
12,TS,Close,15.5892
12,TS,Close,6.64134
12,TS,Close,12.7502
12,TS,Close,9.64278
12,TS,Close,7.52299
12,TS,Close,25.958
12,TS,Close,7.57549
12,TS,Close,6.88617
12,TS,Close,8.26185
12,TS,Close,12.8795
12,JS,Close,18.7827
12,JS,Close,11.6786
12,JS,Close,18.4814
12,JS,Close,10.5908
12,JS,Close,10.4904
12,JS,Close,9.30452
12,JS,Close,17.2391
12,JS,Close,7.82009
12,JS,Close,4.00809
12,JS,Close,12.8743
13,EP,Close,86.95894
13,EP,Close,27.71129
13,EP,Close,21.97528
13,EP,Close,17.4136
13,EP,Close,8.273478
13,EP,Close,8.283524
13,EP,Close,11.08624
13,EP,Close,10.40307
13,EP,Close,30.07199
13,EP,Close,10.30913
13,TS,Close,82.00972
13,TS,Close,80.08059
13,TS,Close,101.7631
13,TS,Close,61.6252
13,TS,Close,45.39525
13,TS,Close,42.28409
13,TS,Close,37.69853
13,TS,Close,30.48939
13,TS,Close,56.20121
13,TS,Close,86.54749
13,JS,Close,22.26055
13,JS,Close,79.57848
13,JS,Close,180.4256
13,JS,Close,61.94856
13,JS,Close,14.66739
13,JS,Close,135.9334
13,JS,Close,23.38876
13,JS,Close,12.3859
13,JS,Close,43.251
13,JS,Close,12.72947
14,EP,Close,30.25117
14,EP,Close,129.0813
14,EP,Close,27.51555
14,EP,Close,78.78421
14,EP,Close,29.73028
14,EP,Close,71.31842
14,EP,Close,43.4315
14,EP,Close,44.38744
14,EP,Close,87.5211
14,EP,Close,76.82705
14,TS,Close,43.88805
14,TS,Close,21.79011
14,TS,Close,48.68492
14,TS,Close,112.436
14,TS,Close,41.57958
14,TS,Close,26.09115
14,TS,Close,44.00307
14,TS,Close,27.71072
14,TS,Close,45.6601
14,TS,Close,86.71711
14,JS,Close,21.46921
14,JS,Close,32.35643
14,JS,Close,4.329537
14,JS,Close,11.2062
14,JS,Close,12.91334
14,JS,Close,5.935819
14,JS,Close,9.10842
14,JS,Close,76.21026
14,JS,Close,17.45951
14,JS,Close,11.52935
15,EP,Close,41.5495
