sub_num,case_nm,target,iteration,time
2,EP,Far,19,6.56669
2,EP,Far,7,6.43335
2,EP,Close,19,6.4222
2,EP,High,17,6.3889
2,JS,High,1,6.3667
2,EP,Close,2,6.2889
2,EP,Mid,18,6.1778
2,TS,Close,23,6.15557
2,EP,Far,24,6.11113
2,EP,Close,28,6.0778
2,EP,High,22,5.9667
2,JS,High,14,5.9445
2,EP,Mid,20,5.8778
2,TS,Close,15,5.87779
2,TS,Close,30,5.85557
2,JS,Close,28,5.66668
2,TS,Close,29,5.65557
2,JS,Close,17,5.64445
2,JS,Close,12,5.62223
2,EP,Far,20,5.55556
2,JS,Close,30,5.53334
2,EP,High,21,5.5333
2,EP,High,19,5.5
2,JS,High,28,5.2778
2,TS,High,3,5.2444
2,EP,Close,18,5.2111
2,EP,High,6,5.1889
2,EP,Mid,12,5.1333
2,EP,Close,22,5.1222
2,EP,Close,20,5.0444
2,EP,Mid,16,5.0444
2,JS,High,3,5.0333
2,EP,Close,4,5.0222
2,EP,Close,29,5.0111
2,JS,High,27,5
2,EP,Mid,25,4.9889
2,EP,Close,15,4.9778
2,JS,High,23,4.9667
2,EP,Far,16,4.93333
2,EP,High,28,4.9333
2,EP,Far,23,4.87778
2,JS,Mid,15,4.8556
2,EP,Far,6,4.85555
2,EP,High,15,4.8333
2,JS,Far,15,4.7444
2,EP,High,2,4.7333
2,EP,Close,21,4.7222
2,EP,Close,26,4.7
2,JS,Close,20,4.67777
2,TS,High,23,4.6333
2,JS,Mid,9,4.6111
2,JS,Mid,14,4.6
2,EP,Far,8,4.58888
2,EP,Far,15,4.57777
2,EP,Far,27,4.57777
2,TS,High,15,4.5444
2,EP,High,1,4.5333
2,EP,High,30,4.5111
2,JS,High,29,4.4889
2,JS,Far,8,4.4778
2,EP,Close,13,4.4555
2,EP,Close,11,4.4444
2,EP,High,25,4.4444
2,JS,Close,21,4.42221
2,JS,Mid,18,4.4111
2,EP,Mid,28,4.3889
2,EP,High,8,4.3778
2,JS,Close,2,4.37777
2,JS,Far,20,4.3667
2,TS,Mid,7,4.3555
2,JS,Close,27,4.34444
2,JS,High,15,4.3444
2,JS,Close,15,4.33333
2,TS,High,6,4.3222
2,EP,Close,6,4.3111
2,EP,High,7,4.3111
2,EP,High,10,4.3
2,JS,High,13,4.2667
2,EP,Far,17,4.26666
2,EP,Close,12,4.2444
2,EP,Close,24,4.2333
2,EP,High,9,4.2333
2,TS,Close,2,4.22221
2,EP,Close,16,4.2
2,EP,Far,5,4.16666
2,EP,Mid,24,4.1111
2,EP,Close,9,4.0889
2,EP,Mid,15,4.0778
2,EP,Far,12,4.06665
2,EP,Far,4,4.03332
2,JS,Far,22,4
2,EP,High,3,3.9889
2,EP,Mid,30,3.9778
2,JS,Close,13,3.94443
2,EP,Close,3,3.9444
2,EP,High,4,3.9222
2,EP,Far,14,3.9111
2,TS,High,7,3.9111
2,EP,Close,1,3.9
2,EP,Mid,11,3.8889
2,JS,High,19,3.8889
2,EP,High,24,3.8667
2,JS,Close,23,3.85554
2,EP,Mid,6,3.8555
2,TS,Close,9,3.83332
2,EP,Close,17,3.8
2,EP,High,26,3.8
2,EP,Close,30,3.7778
2,JS,Close,26,3.77777
2,EP,High,12,3.7667
2,JS,High,22,3.7667
2,EP,Far,3,3.75555
2,JS,Far,3,3.7333
2,JS,High,12,3.7333
2,EP,Close,25,3.7222
2,EP,High,27,3.7222
2,EP,Close,5,3.7
2,JS,High,16,3.7
2,EP,Close,14,3.6778
2,TS,Far,15,3.6778
2,JS,Far,7,3.6667
2,JS,Close,7,3.66666
2,JS,Close,8,3.66666
2,JS,Close,6,3.63332
2,JS,Close,11,3.6111
2,EP,Close,7,3.6
2,EP,Close,10,3.5889
2,TS,Far,24,3.5889
2,JS,Mid,13,3.5889
2,TS,Close,27,3.57777
2,EP,High,16,3.5667
2,EP,High,14,3.5555
2,EP,Far,1,3.54444
2,EP,High,29,3.5333
2,EP,Mid,27,3.5111
2,EP,High,13,3.5111
2,TS,High,22,3.5111
2,JS,High,5,3.4889
2,JS,Mid,19,3.4667
2,JS,Close,16,3.46666
2,EP,Far,2,3.44444
2,EP,Mid,23,3.4333
2,JS,High,26,3.4222
2,EP,Mid,19,3.4111
2,JS,Far,6,3.3778
2,JS,Close,4,3.37777
2,EP,Mid,8,3.3667
2,EP,High,5,3.3667
2,TS,Mid,18,3.3555
2,JS,Mid,1,3.3333
2,JS,Close,22,3.32221
2,AB,High,6,3.3222
2,TS,Mid,17,3.3222
2,JS,High,17,3.3222
2,TS,Far,9,3.3111
2,EP,Far,18,3.29999
2,JS,High,4,3.2889
2,AB,Far,8,3.2778
2,TS,Far,2,3.2444
2,TS,High,29,3.2333
2,JS,Mid,25,3.2333
2,JS,Far,2,3.2333
2,JS,Mid,17,3.2111
2,EP,High,23,3.2
2,JS,Close,9,3.16666
2,EP,Close,8,3.1555
2,JS,High,20,3.1555
2,TS,Close,13,3.14444
2,JS,Far,16,3.1444
2,EP,Far,30,3.13333
2,JS,Close,14,3.12222
2,TS,Far,4,3.1222
2,TS,High,9,3.1222
2,TS,Close,28,3.11111
2,AB,Far,4,3.1
2,JS,Mid,23,3.1
2,EP,Far,13,3.09999
2,TS,Far,29,3.0889
2,JS,Far,12,3.0667
2,JS,Far,5,3.0556
2,TS,Close,3,3.04444
2,AB,Far,5,3.0333
2,JS,Mid,26,3.0333
2,TS,High,26,3.0222
2,JS,High,7,3.0222
2,AB,Far,2,3
2,EP,Far,28,3
2,JS,Mid,12,2.9889
2,JS,Mid,3,2.9778
2,JS,Mid,24,2.9778
2,JS,High,6,2.9778
2,TS,Mid,15,2.9667
2,JS,Far,18,2.9667
2,TS,Close,7,2.96666
2,JS,Close,5,2.94444
2,JS,Far,4,2.9444
2,JS,High,8,2.9444
2,EP,Far,26,2.93333
2,JS,Mid,5,2.9333
2,JS,Mid,11,2.9333
2,TS,Far,3,2.9222
2,JS,Far,14,2.9222
2,AB,Far,29,2.9
2,TS,Far,5,2.9
2,TS,Far,27,2.9
2,TS,High,18,2.9
2,JS,Far,11,2.8778
2,JS,High,2,2.8778
2,TS,Close,11,2.87777
2,TS,Far,1,2.8556
2,TS,Far,21,2.8556
2,JS,Mid,10,2.8556
2,TS,Close,1,2.85555
2,EP,Mid,10,2.8333
2,TS,High,12,2.8333
2,TS,Far,12,2.8222
2,JS,Far,10,2.8222
2,JS,High,24,2.8222
2,TS,Close,12,2.81111
2,TS,Far,6,2.8111
2,JS,Mid,29,2.8111
2,JS,Far,9,2.8111
2,JS,Far,24,2.8
2,TS,Far,10,2.7889
2,JS,Far,13,2.7778
2,TS,High,1,2.7667
2,JS,Far,21,2.7667
2,TS,Close,22,2.76666
2,AB,Mid,27,2.7556
2,JS,Far,25,2.7556
2,TS,Close,24,2.75555
2,TS,Mid,12,2.7444
2,TS,Far,7,2.7444
2,JS,Far,23,2.7444
2,JS,High,10,2.7444
2,TS,Close,16,2.73333
2,JS,Mid,4,2.7333
2,JS,Far,17,2.7222
2,AB,Far,12,2.7111
2,AB,Far,20,2.7111
2,EP,Mid,14,2.7111
2,JS,Far,28,2.7
2,TS,High,11,2.6889
2,AB,Far,7,2.6778
2,AB,High,21,2.6778
2,EP,Mid,3,2.6778
2,TS,High,25,2.6778
2,AB,High,5,2.6667
2,TS,High,10,2.6667
2,AB,High,2,2.6556
2,AB,High,18,2.6556
2,EP,Mid,7,2.6556
2,AB,Far,3,2.6444
2,TS,Far,16,2.6444
2,JS,High,11,2.6444
2,JS,Mid,21,2.6333
2,AB,Far,30,2.6222
2,TS,Far,11,2.6222
2,EP,Far,9,2.61111
2,EP,Far,10,2.61111
2,TS,Mid,10,2.6111
2,JS,High,18,2.6111
2,EP,Mid,21,2.6
2,TS,Close,8,2.6
2,TS,Far,8,2.6
2,EP,Close,23,2.5889
2,EP,Mid,22,2.5889
2,AB,Far,6,2.5778
2,AB,Far,22,2.5778
2,EP,Mid,29,2.5778
2,TS,Mid,14,2.5778
2,JS,High,21,2.5778
2,AB,High,13,2.5556
2,EP,Mid,1,2.5556
2,JS,Mid,16,2.5556
2,JS,Close,29,2.55556
2,AB,High,8,2.5444
2,AB,High,7,2.5111
2,AB,High,11,2.5111
2,TS,Far,22,2.5111
2,AB,High,3,2.5
2,AB,Far,19,2.4889
2,AB,Far,25,2.4889
2,AB,High,1,2.4889
