sub_num,case_nm,d_c7_close,d_c7_mid,d_c7_far,d_c7_high
2,TS,0.037063,0.020395,0.27056,0.054695
2,TS,0.044543,0.020858,0.24002,0.028101
2,TS,0.024618,0.024341,0.21854,0.032651
2,TS,0.02916,0.011786,0.19717,0.045041
2,TS,0.021964,0.014186,0.20297,0.017261
2,TS,0.038232,0.025237,0.24147,0.073465
2,TS,0.040436,0.034575,0.16717,0.014155
2,TS,0.027928,0.016286,0.17442,0.027572
2,JS,0.014767,0.038606,0.2971,0.014278
2,JS,0.0039582,0.021786,0.27312,0.013212
2,JS,0.015715,0.024217,0.26398,0.019618
2,JS,0.022811,0.033644,0.25251,0.0068175
2,JS,0.028073,0.035496,0.26548,0.008693
2,JS,0.024523,0.032509,0.25125,0.013598
2,JS,0.014545,0.02793,0.25705,0.011733
2,JS,0.013664,0.056228,0.2282,0.012629
2,JS,0.022184,0.042424,0.25443,0.027673
2,JS,0.026508,0.041914,0.27427,0.01421
3,AB,0.014167,0.085876,0.281,0.070565
3,AB,0.0036821,0.060121,0.23511,0.07082
3,AB,0.010727,0.040296,0.24542,0.086703
3,AB,0.006477,0.039088,0.21479,0.088425
3,AB,0.0046031,0.083916,0.22658,0.075678
3,AB,0.02272,0.062975,0.2686,0.074879
3,AB,0.0032904,0.049624,0.21893,0.081182
3,AB,0.016152,0.076475,0.21742,0.079557
3,AB,0.0038893,0.04845,0.22518,0.048787
3,AB,0.0071646,0.053478,0.26215,0.071269
3,EP,0.021693,0.17526,0.30812,0.036601
3,EP,0.025538,0.15343,0.32721,0.078834
3,EP,0.1343,0.049743,0.32379,0.13302
3,EP,0.02699,0.13144,0.3079,0.10904
3,EP,0.072534,0.06314,0.33965,0.11006
3,EP,0.039567,0.14774,0.32838,0.073404
3,EP,0.142,0.14231,0.29593,0.0809
3,EP,0.032394,0.15063,0.30509,0.068269
3,EP,0.022913,0.14235,0.32669,0.036443
3,EP,0.039024,0.14669,0.34171,0.057827
3,TS,0.039916,0.051719,0.27038,0.050567
3,TS,0.012172,0.14022,0.26856,0.045758
