sub_num,case_nm,h_diff_close,h_diff_mid,h_diff_far,h_diff_high
7,AB,0,0,0,0
7,AB,0,0,0,0
7,AB,0,0,0,0
7,AB,0,0,0,0
7,AB,0,0,0,0
7,AB,0,0,0,0
7,AB,0,0,0,0
7,AB,0,0,0,0
7,EP,37.7856,23.6919,17.01322,53.63983
7,EP,11.4188,26.9331,69.96847,23.13845
7,EP,13.6023,12.5402,33.46249,37.32324
7,EP,26.3738,65.9689,95.17818,13.90013
7,EP,9.44782,31.4891,82.21314,14.48719
7,EP,12.0971,11.635,42.38862,42.12766
7,EP,11.0413,44.5357,25.62196,78.19999
7,EP,7.32319,17.0469,100.9835,33.26119
7,EP,9.39011,6.07982,61.83636,19.65859
7,EP,7.97919,12.8403,86.79337,34.01714
7,TS,17.8362,32.0672,71.95694,118.6425
7,TS,63.7255,57.7909,53.17257,63.64975
7,TS,21.6635,29.5617,44.90656,42.27182
7,TS,57.8283,56.4089,56.68345,99.58125
7,TS,18.5957,30.3431,58.31579,90.23125
7,TS,45.689,61.3739,42.68571,132.3759
7,TS,10.0758,36.9545,68.29188,100.9432
7,TS,11.9676,44.5395,55.08074,75.39611
7,TS,26.7366,18.8235,56.63638,114.5558
7,TS,44.8472,46.4983,56.21348,57.32625
7,JS,9.56279,33.9783,22.04232,43.88895
7,JS,13.2992,43.2712,24.70016,24.0866
7,JS,17.7798,31.8543,33.46273,19.6665
7,JS,14.6908,64.1491,34.86123,33.22937
7,JS,7.08322,25.4182,50.56059,30.10249
7,JS,10.5632,40.9909,40.52908,36.3017
7,JS,18.0127,50.8211,34.66945,41.58824
7,JS,19.2852,45.7273,35.3595,52.0793
7,JS,15.4872,15.2203,24.52573,53.9241
7,JS,13.5409,47.8384,24.50464,26.05547
8,AB,0,0,0,0
8,AB,0,0,0,0
8,AB,0,0,0,0
8,AB,0,0,0,0
8,AB,0,0,0,0
8,AB,0,0,0,0
8,AB,0,0,0,0
8,AB,0,0,0,0
8,AB,0,0,0,0
8,AB,0,0,0,0
8,EP,31.65487,19.4581,74.26146,37.08677
8,EP,33.18233,42.5548,64.46691,63.03961
8,EP,6.815104,56.5309,40.90429,75.13262
8,EP,33.22243,25.9181,67.01498,57.71137
8,EP,42.31424,40.1306,49.53527,39.42255
8,EP,31.37836,27.6947,60.5349,28.93051
8,EP,16.14201,31.5214,226.1688,37.16527
8,EP,46.23477,22.9892,55.88718,113.7333
8,EP,154.8379,36.4465,20.0752,45.63219
8,EP,20.71403,13.3433,20.69862,57.3432
8,TS,32.54328,98.1933,62.72098,24.82642
8,TS,21.01898,33.9445,42.48021,33.58046
8,TS,6.679374,72.5633,46.67433,27.80733
8,TS,25.54766,27.5294,40.42494,32.41476
8,TS,50.97289,31.213,35.09085,58.45939
8,TS,34.7373,23.5132,68.93287,44.68668
8,TS,22.21051,19.725,49.03905,38.24179
8,TS,16.18801,19.451,88.86711,14.90279
8,TS,26.74985,14.1432,65.29007,50.52796
8,TS,29.40306,25.1848,108.3828,53.49749
8,JS,42.63863,25.2183,46.90566,131.597
8,JS,25.68208,43.9293,47.70698,45.42666
8,JS,15.03554,31.76,51.83389,81.51433
8,JS,26.91397,77.7705,58.27914,60.16903
8,JS,54.02216,30.8504,42.32356,48.11864
8,JS,28.44874,26.0099,51.74005,93.86422
8,JS,143.1198,27.8312,57.75489,59.83
8,JS,24.53505,22.7936,48.16728,68.00957
8,JS,11.17022,37.031,29.69129,51.19077
8,JS,38.60069,13.8821,31.74773,39.14776
9,AB,0,0,0,0
9,AB,0,0,0,0
9,AB,0,0,0,0
9,AB,0,0,0,0
9,AB,0,0,0,0
9,AB,0,0,0,0
9,AB,0,0,0,0
9,AB,0,0,0,0
9,AB,0,0,0,0
9,AB,0,0,0,0
9,EP,133.3191,79.89737,144.7128,217.6205
9,EP,85.88415,95.55715,109.3542,85.62608
9,EP,58.31917,66.59161,83.90089,97.1911
9,EP,45.38794,78.1697,68.72296,93.65073
9,EP,109.2511,164.0501,286.9548,98.90081
9,EP,73.63912,49.02536,53.4581,107.3966
9,EP,116.408,51.7721,113.5925,78.2948
9,EP,67.87246,60.16617,202.0787,179.7488
9,EP,76.59165,48.36761,143.0774,96.61866
9,EP,88.99131,446.922,114.8104,108.4852
9,TS,43.00592,64.49642,82.39141,70.45594
9,TS,46.69758,53.34523,70.75819,71.32357
9,TS,35.47515,63.10514,46.19469,58.16026
9,TS,42.83689,62.56736,85.74055,81.31314
9,TS,34.49296,61.01084,70.15065,60.7535
9,TS,58.29107,53.3598,59.41152,69.33762
9,TS,55.17214,42.86867,109.1429,57.12733
9,TS,140.3849,44.78436,64.6111,59.26338
9,TS,232.6596,58.80722,84.92273,75.72293
9,TS,127.667,65.55094,103.2354,75.09064
9,JS,73.10259,48.61473,74.9251,51.09682
9,JS,244.4393,45.44094,54.60931,59.6948
9,JS,73.94653,35.54153,79.90853,56.30668
9,JS,183.9825,55.09216,65.98418,72.64191
9,JS,125.5675,48.23559,60.66678,62.77879
9,JS,124.3944,47.36263,63.07685,73.19685
9,JS,293.0005,45.57179,64.45998,58.13423
9,JS,174.6038,51.79662,61.36426,63.76682
9,JS,115.5967,53.51952,95.08478,80.52754
9,JS,89.09168,70.5274,69.82639,96.05348
10,AB,0,0,0,0
10,AB,0,0,0,0
10,AB,0,0,0,0
10,AB,0,0,0,0
10,AB,0,0,0,0
10,AB,0,0,0,0
10,AB,0,0,0,0
10,AB,0,0,0,0
10,AB,0,0,0,0
10,AB,0,0,0,0
10,EP,11.09088,81.1837,217.4668,164.0457
10,EP,45.83251,86.7626,385.6476,292.6837
10,EP,33.98394,28.9185,247.4291,244.2349
10,EP,83.09664,37.7687,200.9416,42.00978
10,EP,108.566,15.8111,198.5817,23.8073
10,EP,69.5114,23.9891,237.3323,24.61801
10,EP,56.94326,16.9666,162.2225,27.56917
10,EP,36.38323,24.5639,257.6035,47.14434
10,EP,217.4026,35.308,276.6297,34.48551
10,EP,32.03298,31.8632,252.9108,42.69025
10,TS,21.11855,67.4067,84.31002,127.1011
10,TS,10.02171,83.3094,110.188,127.0855
10,TS,19.90787,12.5525,180.5667,172.0562
10,TS,53.95478,11.0553,104.5828,147.3599
10,TS,22.65805,26.2377,72.19904,120.8472
10,TS,44.79363,34.3358,152.7143,110.3848
10,TS,43.98303,76.1399,105.9863,110.9499
10,TS,12.61778,41.4116,84.39119,112.8969
10,TS,24.79669,29.5633,95.35811,113.6649
10,TS,33.8221,11.309,108.5839,157.1996
10,JS,47.50791,32.8808,37.42658,97.94346
10,JS,7.558797,7.84397,79.95038,22.51807
10,JS,43.07824,48.2961,64.6236,111.9917
10,JS,52.3183,47.8309,75.82317,105.9939
10,JS,37.10237,35.8267,72.8959,55.74405
10,JS,32.54744,92.4519,87.20118,102.3304
10,JS,23.54934,65.3094,81.71151,222.6385
10,JS,18.53233,70.2052,118.6545,69.0527
10,JS,44.77513,20.3663,93.75068,109.0931
10,JS,40.32359,72.9132,118.1244,30.29388
11,AB,0,0,0,0
11,AB,0,0,0,0
11,AB,0,0,0,0
11,AB,0,0,0,0
11,AB,0,0,0,0
11,AB,0,0,0,0
11,AB,0,0,0,0
