sub_num,case_nm,time_close,time_mid,time_far,time_high
7,AB,1.8667,2.4111,2.1444,2.7
7,AB,1.7444,1.7111,2.5222,2.4667
7,AB,1.4222,1.8,2.4778,2.4222
7,AB,1.7222,2.5889,2.2111,2.2778
7,AB,1.8778,1.9556,2.2556,2.2111
7,AB,1.7444,1.8778,2.1556,2.3778
7,AB,1.6556,2.1889,2.1111,1.8778
7,AB,1.5889,1.7444,2,1.8667
7,EP,2.0444,3.1111,4.0889,3.4555
7,EP,1.4667,2.8111,5.1889,2.9889
7,EP,1.6333,2.9,4.7222,3.3444
7,EP,2.0444,2.9889,5.1667,2.6333
7,EP,1.9444,3.1111,6.9778,3.9222
7,EP,1.5111,1.6778,3.7111,4.2667
7,EP,1.5778,2.3333,3.5,3.9333
7,EP,1.6889,3.3555,7.3,3.5
7,EP,1.4333,1.8111,3.6667,2.5778
7,EP,1.6,2.1111,4.5,2.9111
7,TS,1.8,2.7222,4.3778,4.2889
7,TS,3.0889,3.1222,3.3,3.9111
7,TS,1.7444,3.2667,3.7111,3.5889
7,TS,3.4778,2.9333,4,3.9222
7,TS,1.0556,2.7778,3.5,4.5889
7,TS,2.7556,3.4778,3.1555,4.0333
7,TS,1.8889,3.9555,4.4889,4.1889
7,TS,1.8444,2.8333,4.3667,3.7667
7,TS,1.9444,3.0444,3.3778,3.8444
7,TS,2.1111,3.2444,3.6889,3.7
7,JS,1.7222,3.4222,3.9444,3.9667
7,JS,1.7222,2.8333,4.2889,2.9778
7,JS,1.3111,2.6222,3.3111,3.2111
7,JS,2.0333,3.4111,6.0222,2.9222
7,JS,1.5667,2.2444,3.7222,3.3222
7,JS,1.8667,5.2111,3.5444,2.9778
7,JS,1.5,3.4444,3.5889,3.5555
7,JS,1.9111,2.8333,3.4889,3.0333
7,JS,1.5111,4.2333,3.4778,2.7556
7,JS,1.7111,3.2222,6.5334,3.1333
8,AB,2,1.6111,2.3,2.1778
8,AB,1.6111,1.6222,1.9444,2.1
8,AB,1.5889,1.3444,2.1111,1.8
8,AB,1.6889,1.6889,2.2556,2.4222
8,AB,1.7889,2.0333,2.1667,2.1667
8,AB,1.4,1.7889,2.3667,1.8556
8,AB,1.5778,1.5556,1.9556,2.0444
8,AB,1.8889,1.4556,2.1,1.8333
8,AB,1.3889,1.5444,2.7556,2.0444
8,AB,1.4333,2.0444,1.9111,1.8333
8,EP,1.5667,2.0667,3.2667,3.8444
8,EP,2.9333,2.6667,3.7778,2.8778
8,EP,1.2444,3.0778,2.6667,3.3111
8,EP,1.5444,2.4,3.7667,2.8
8,EP,1.3889,2.5556,3.7444,4.9889
8,EP,1.1889,2.6778,2.5333,2.7556
8,EP,1.4111,1.8667,8.6556,2.3444
8,EP,2.0778,2.8889,2.3667,4.5667
8,EP,4.4,2.2444,2.3,3.0333
8,EP,1.3222,1.6889,2.6778,2.7889
8,TS,1.5222,2.9,3.8222,3.0556
8,TS,1.4,1.8222,2.6889,2.5111
8,TS,1.2444,2.3,2.6444,2.8222
8,TS,1.3444,1.6444,2.6111,2.7
8,TS,1.4667,2.2667,2.6333,2.7111
8,TS,1.3556,1.8,2.7444,2.7
8,TS,1.3778,1.6,2.5889,2.3556
8,TS,1.4333,2.6444,3.3889,2.2556
8,TS,1.6889,1.6556,3.0222,2.5889
8,TS,1.4,1.9222,3.7667,2.3889
8,JS,1.7,3.7444,2.9111,5.5445
8,JS,1.4111,2.1222,3.9333,2.1444
8,JS,1.4889,1.8222,2.7778,3.0222
8,JS,1.4556,2.7222,4.7333,2.6556
8,JS,1.4889,1.7556,2.6111,2.6333
8,JS,1.3333,1.6889,3,2.9222
8,JS,4.7667,1.8,2.7889,2.2889
8,JS,1.4889,2.4111,4.0222,3.1444
8,JS,1.9444,1.8778,2.6222,2.4111
8,JS,1.3889,1.7111,2.4,2.2778
9,AB,1.3778,1.26667,1.6222,1.8222
9,AB,1.3556,1.35556,1.8111,1.8889
9,AB,1.4,1.34445,1.8889,1.7
9,AB,1.5111,1.48889,1.7111,1.7778
9,AB,1.4778,2.03334,2.0111,1.6556
9,AB,1.4444,1.38889,1.9222,1.7667
9,AB,1.3778,1.35556,1.7667,1.6333
9,AB,1.2778,1.53334,2.2889,2.2889
9,AB,1.5444,1.56667,2.0111,1.9111
9,AB,1.5,1.3,1.7556,1.4556
9,EP,5.2,4.23332,4.6,9.0001
9,EP,3.8222,4.29999,4.5,4.3778
9,EP,2.5222,3.09999,3.5889,4.2889
9,EP,3.6444,5.75557,3.5444,3.7555
9,EP,4.7556,3.43333,8.6112,6.3222
9,EP,2.6889,3.13333,3.1,4.5444
9,EP,6.5556,5.63334,4.8333,2.9111
9,EP,3.3889,3.28888,5.6111,7.3111
9,EP,3.4667,3.37777,5.9778,3.3778
9,EP,3.1222,14.0112,3.7444,5.3445
9,TS,2.1,3.03333,3.5778,3.8222
9,TS,2.2111,3.35555,4.0333,5.0778
9,TS,2.5889,3.88888,2.9889,3.9667
9,TS,3,2.67778,3.7333,3.5222
9,TS,2.6111,5.62223,3.7,3.5222
9,TS,3.0556,3.17777,3.1778,3.4111
9,TS,3,2.77778,3.6778,3.2778
9,TS,4.5667,3.05555,3.2778,2.8444
9,TS,8.2112,2.82222,3.3,3.9333
9,TS,4.2,3.47777,3.3889,4.1889
9,JS,3.2444,2.78889,3.4667,3.3333
9,JS,6.7667,3.39999,3.7444,3.6222
9,JS,3.2889,2.54444,5.0444,4.9222
9,JS,6.8445,3.17777,3.3778,2.5
9,JS,5.5,2.76666,3.1889,3.7
9,JS,3.8,2.71111,3.9111,3.6444
9,JS,6.8445,2.71111,3.9222,3.4222
9,JS,6.6,3.08888,3.8333,3.8111
9,JS,4.4889,3.76666,9.7556,3.7889
9,JS,3.2778,5.52223,3.6444,4.6667
10,AB,1.6889,2.1889,2.46667,3.2
10,AB,1.7333,1.8889,1.96667,2.0111
10,AB,1.4889,1.6444,1.98889,2.1222
10,AB,1.8667,1.8778,2.16667,2.3778
10,AB,1.6889,1.8889,2.61111,2.0556
10,AB,1.8333,1.5778,2.44444,1.9667
10,AB,1.7333,1.8556,2.2,2.1556
10,AB,2.6778,1.7,1.74445,2.4556
10,AB,1.6222,1.9444,2.12222,2.1778
10,AB,1.2889,2.3778,2.12222,2.2444
10,EP,1.6222,5.8,5.61112,5.0667
