sub_num,case_nm,target,s_j
15,TS,Close,-1.7809
15,TS,Close,-1.9894
15,TS,Close,-1.5846
15,TS,Close,-1.7382
15,TS,Close,-1.6967
15,TS,Close,-1.7253
15,TS,Close,-1.7997
15,TS,Close,-1.6229
15,TS,Close,-1.7793
15,JS,Close,-2.4244
15,JS,Close,-1.7016
15,JS,Close,-1.6035
15,JS,Close,-7.3691
15,JS,Close,-1.6411
15,JS,Close,-2.0533
15,JS,Close,-1.6935
15,JS,Close,-1.6807
15,JS,Close,-1.6277
15,JS,Close,-1.7368
1,AB,Mid,-1.5306
1,AB,Mid,-1.4793
1,AB,Mid,-1.7004
1,AB,Mid,-1.9933
1,AB,Mid,-1.6626
1,AB,Mid,-1.5182
1,AB,Mid,-1.7149
1,AB,Mid,-1.855
1,AB,Mid,-1.8941
1,AB,Mid,-1.5909
1,EP,Mid,-1.6368
1,EP,Mid,-2.1674
1,EP,Mid,-3.0947
1,EP,Mid,-2.1085
1,EP,Mid,-2.0753
1,EP,Mid,-1.9392
1,EP,Mid,-2.0328
1,EP,Mid,-2.1887
1,EP,Mid,-2.0428
1,EP,Mid,-1.9618
1,TS,Mid,-2.1269
1,TS,Mid,-1.8229
1,TS,Mid,-2.0282
1,TS,Mid,-1.661
1,TS,Mid,-1.7404
1,TS,Mid,-2.6018
1,TS,Mid,-2.6826
1,TS,Mid,-2.0621
1,TS,Mid,-1.7484
1,TS,Mid,-1.9524
1,JS,Mid,-2.0988
1,JS,Mid,-1.6301
1,JS,Mid,-1.783
1,JS,Mid,-1.9838
1,JS,Mid,-2.3549
1,JS,Mid,-2.524
1,JS,Mid,-2.5528
1,JS,Mid,-2.2364
1,JS,Mid,-1.7274
1,JS,Mid,-2.0678
2,AB,Mid,-1.8213
2,AB,Mid,-2.1183
2,AB,Mid,-2.2485
2,AB,Mid,-1.6032
2,AB,Mid,-1.4869
2,AB,Mid,-1.7252
2,AB,Mid,-1.7809
2,AB,Mid,-2.0946
2,AB,Mid,-1.6633
2,AB,Mid,-1.6593
2,EP,Mid,-1.9175
2,EP,Mid,-1.8741
2,EP,Mid,-1.9622
2,EP,Mid,-2.1285
2,EP,Mid,-2.2397
2,EP,Mid,-2.7472
2,EP,Mid,-1.9252
2,EP,Mid,-2.2639
2,EP,Mid,-1.9777
2,EP,Mid,-1.93
2,TS,Mid,-1.6825
2,TS,Mid,-1.6743
2,TS,Mid,-1.6553
2,TS,Mid,-1.6524
2,TS,Mid,-1.685
2,TS,Mid,-1.8085
2,TS,Mid,-1.6792
2,TS,Mid,-1.7841
2,TS,Mid,-1.6885
2,TS,Mid,-1.6952
2,JS,Mid,-1.5441
2,JS,Mid,-1.4534
2,JS,Mid,-1.5899
2,JS,Mid,-1.5371
2,JS,Mid,-1.6078
2,JS,Mid,-1.4
2,JS,Mid,-1.6745
2,JS,Mid,-1.5603
