sub_num,case_nm,target,d_c7
11,EP,Close,0.084177
11,EP,Close,0.052235
11,EP,Close,0.056165
11,EP,Close,0.13336
11,EP,Close,0.046181
11,EP,Close,0.099142
11,EP,Close,0.060672
11,EP,Close,0.077987
11,EP,Close,0.07244
11,EP,Close,0.050127
11,TS,Close,0.068061
11,TS,Close,0.036765
11,TS,Close,0.056583
11,TS,Close,0.0084495
11,TS,Close,0.0476
11,TS,Close,0.035937
11,TS,Close,0.015154
11,TS,Close,0.066724
11,TS,Close,0.01555
11,TS,Close,0.052708
11,JS,Close,0.062098
11,JS,Close,0.025831
11,JS,Close,0.017837
11,JS,Close,0.028606
11,JS,Close,0.090178
11,JS,Close,0.075942
11,JS,Close,0.081665
11,JS,Close,0.039251
11,JS,Close,0.056746
11,JS,Close,0.036022
12,AB,Close,0.0045163
12,AB,Close,0.012682
12,AB,Close,0.0046751
12,AB,Close,0.0054228
12,AB,Close,0.013745
12,AB,Close,0.0080092
12,AB,Close,0.013608
12,AB,Close,0.0079634
12,AB,Close,0.011104
12,AB,Close,0.0068088
12,EP,Close,0.035543
12,EP,Close,0.018531
12,EP,Close,0.040155
12,EP,Close,0.036699
12,EP,Close,0.023761
12,EP,Close,0.022183
12,EP,Close,0.042913
12,EP,Close,0.038336
12,EP,Close,0.034407
12,EP,Close,0.024589
12,TS,Close,0.092626
12,TS,Close,0.064192
12,TS,Close,0.05675
12,TS,Close,0.043718
12,TS,Close,0.046035
12,TS,Close,0.097763
12,TS,Close,0.052608
12,TS,Close,0.07427
12,TS,Close,0.050915
12,TS,Close,0.043694
12,JS,Close,0.028159
12,JS,Close,0.010638
12,JS,Close,0.020114
12,JS,Close,0.021986
12,JS,Close,0.029768
12,JS,Close,0.019118
12,JS,Close,0.022087
12,JS,Close,0.025045
12,JS,Close,0.029438
12,JS,Close,0.013853
13,AB,Close,0.014176
13,AB,Close,0.011845
13,AB,Close,0.014338
13,AB,Close,0.010893
13,AB,Close,0.02355
13,AB,Close,0.0096416
13,AB,Close,0.019098
13,AB,Close,0.022538
13,AB,Close,0.01456
13,AB,Close,0.005699
13,EP,Close,0.042029
13,EP,Close,0.020902
13,EP,Close,0.032405
13,EP,Close,0.015229
13,EP,Close,0.038587
13,EP,Close,0.015683
13,EP,Close,0.022349
13,EP,Close,0.023314
13,EP,Close,0.017904
13,EP,Close,0.01449
13,TS,Close,0.020364
13,TS,Close,0.061217
13,TS,Close,0.044881
13,TS,Close,0.071389
13,TS,Close,0.01049
13,TS,Close,0.046431
13,TS,Close,0.033864
13,TS,Close,0.023047
13,TS,Close,0.055064
13,TS,Close,0.035028
13,JS,Close,0.0081187
13,JS,Close,0.054561
13,JS,Close,0.026466
13,JS,Close,0.029291
13,JS,Close,0.028212
13,JS,Close,0.021516
13,JS,Close,0.034022
13,JS,Close,0.048173
13,JS,Close,0.071135
13,JS,Close,0.037128
14,AB,Close,0.0086853
14,AB,Close,0.0060414
14,AB,Close,0.0080847
14,AB,Close,0.018638
14,AB,Close,0.010084
14,AB,Close,0.0076653
14,AB,Close,0.006859
14,AB,Close,0.0070058
14,AB,Close,0.0063134
14,AB,Close,0.006161
14,EP,Close,0.026475
14,EP,Close,0.024388
14,EP,Close,0.021625
14,EP,Close,0.034509
14,EP,Close,0.050641
14,EP,Close,0.025553
14,EP,Close,0.032026
14,EP,Close,0.028116
14,EP,Close,0.021183
14,EP,Close,0.020468
14,TS,Close,0.0234
14,TS,Close,0.023568
14,TS,Close,0.016522
14,TS,Close,0.022854
14,TS,Close,0.0259
14,TS,Close,0.024633
14,TS,Close,0.014642
14,TS,Close,0.022892
14,TS,Close,0.040006
14,TS,Close,0.049631
14,JS,Close,0.014527
14,JS,Close,0.021498
14,JS,Close,0.021938
14,JS,Close,0.016325
14,JS,Close,0.010672
14,JS,Close,0.0041314
14,JS,Close,0.015052
14,JS,Close,0.034697
14,JS,Close,0.018298
14,JS,Close,0.007693
15,AB,Close,0.01105
15,AB,Close,0.016497
15,AB,Close,0.0069036
15,AB,Close,0.016901
15,AB,Close,0.026012
15,AB,Close,0.019458
15,AB,Close,0.012895
15,AB,Close,0.02152
15,AB,Close,0.0084343
15,AB,Close,0.025053
15,EP,Close,0.071224
15,EP,Close,0.018797
15,EP,Close,0.10021
15,EP,Close,0.014558
15,EP,Close,0.097061
15,EP,Close,0.021877
15,EP,Close,0.016343
15,EP,Close,0.023868
15,EP,Close,0.0051282
15,EP,Close,0.0085343
15,TS,Close,0.13327
15,TS,Close,0.081913
15,TS,Close,0.1869
15,TS,Close,0.072757
15,TS,Close,0.025092
15,TS,Close,0.026081
15,TS,Close,0.0060285
15,TS,Close,0.019782
15,TS,Close,0.035643
15,TS,Close,0.026338
15,JS,Close,0.045266
15,JS,Close,0.016583
15,JS,Close,0.0084389
15,JS,Close,0.065434
15,JS,Close,0.089319
15,JS,Close,0.15763
15,JS,Close,0.062346
15,JS,Close,0.042024
15,JS,Close,0.040107
15,JS,Close,0.041254
1,AB,Mid,0.067564
1,AB,Mid,0.10011
1,AB,Mid,0.072323
1,AB,Mid,0.069258
1,AB,Mid,0.082297
1,AB,Mid,0.054826
1,AB,Mid,0.054939
1,AB,Mid,0.1006
1,AB,Mid,0.12256
1,AB,Mid,0.10527
1,EP,Mid,0.10087
1,EP,Mid,0.092931
1,EP,Mid,0.13493
1,EP,Mid,0.1168
1,EP,Mid,0.065789
1,EP,Mid,0.05942
1,EP,Mid,0.077131
1,EP,Mid,0.098737
1,EP,Mid,0.090985
1,EP,Mid,0.10803
1,TS,Mid,0.072593
1,TS,Mid,0.083372
1,TS,Mid,0.056728
1,TS,Mid,0.1013
1,TS,Mid,0.12014
1,TS,Mid,0.083725
1,TS,Mid,0.091346
1,TS,Mid,0.09386
1,TS,Mid,0.1097
1,TS,Mid,0.11204
1,JS,Mid,0.16103
1,JS,Mid,0.045374
1,JS,Mid,0.03178
1,JS,Mid,0.069911
1,JS,Mid,0.12716
1,JS,Mid,0.12149
1,JS,Mid,0.10457
1,JS,Mid,0.11327
1,JS,Mid,0.080387
1,JS,Mid,0.0778
2,AB,Mid,0.047397
2,AB,Mid,0.078316
2,AB,Mid,0.066621
2,AB,Mid,0.045884
2,AB,Mid,0.053428
2,AB,Mid,0.026432
2,AB,Mid,0.024804
2,AB,Mid,0.049681
2,AB,Mid,0.054263
2,AB,Mid,0.051931
2,EP,Mid,0.019687
2,EP,Mid,0.010489
2,EP,Mid,0.019319
2,EP,Mid,0.010644
2,EP,Mid,0.020519
2,EP,Mid,0.027699
2,EP,Mid,0.009484
2,EP,Mid,0.025398
2,EP,Mid,0.026854
2,EP,Mid,0.022972
2,TS,Mid,0.0077264
2,TS,Mid,0.021062
2,TS,Mid,0.020395
2,TS,Mid,0.020858
2,TS,Mid,0.024341
2,TS,Mid,0.011786
2,TS,Mid,0.014186
2,TS,Mid,0.025237
2,TS,Mid,0.034575
2,TS,Mid,0.016286
2,JS,Mid,0.038606
2,JS,Mid,0.021786
2,JS,Mid,0.024217
2,JS,Mid,0.033644
2,JS,Mid,0.035496
2,JS,Mid,0.032509
2,JS,Mid,0.02793
2,JS,Mid,0.056228
2,JS,Mid,0.042424
2,JS,Mid,0.041914
3,AB,Mid,0.085876
3,AB,Mid,0.060121
3,AB,Mid,0.040296
3,AB,Mid,0.039088
3,AB,Mid,0.083916
3,AB,Mid,0.062975
3,AB,Mid,0.049624
3,AB,Mid,0.076475
3,AB,Mid,0.04845
3,AB,Mid,0.053478
3,EP,Mid,0.17526
3,EP,Mid,0.15343
3,EP,Mid,0.049743
3,EP,Mid,0.13144
3,EP,Mid,0.06314
3,EP,Mid,0.14774
3,EP,Mid,0.14231
3,EP,Mid,0.15063
3,EP,Mid,0.14235
3,EP,Mid,0.14669
3,TS,Mid,0.051719
3,TS,Mid,0.14022
3,TS,Mid,0.089526
3,TS,Mid,0.12935
3,TS,Mid,0.031765
3,TS,Mid,0.15245
3,TS,Mid,0.053975
3,TS,Mid,0.080623
3,TS,Mid,0.15787
3,TS,Mid,0.15047
3,JS,Mid,0.157
3,JS,Mid,0.16701
3,JS,Mid,0.19672
3,JS,Mid,0.18672
3,JS,Mid,0.15609
3,JS,Mid,0.15714
3,JS,Mid,0.17123
3,JS,Mid,0.17488
3,JS,Mid,0.15606
3,JS,Mid,0.15287
4,AB,Mid,0.010561
4,AB,Mid,0.021892
4,AB,Mid,0.022884
4,AB,Mid,0.022079
4,AB,Mid,0.0067698
4,AB,Mid,0.029504
4,AB,Mid,0.017226
4,AB,Mid,0.0053172
4,AB,Mid,0.030227
4,AB,Mid,0.02488
4,EP,Mid,0.19904
4,EP,Mid,0.28771
4,EP,Mid,0.29999
4,EP,Mid,0.25428
4,EP,Mid,0.24472
4,EP,Mid,0.19651
4,EP,Mid,0.16804
4,EP,Mid,0.15258
4,EP,Mid,0.17248
4,EP,Mid,0.21799
4,TS,Mid,0.09872
4,TS,Mid,0.036504
4,TS,Mid,0.038116
4,TS,Mid,0.10815
4,TS,Mid,0.067629
4,TS,Mid,0.018226
4,TS,Mid,0.01323
4,TS,Mid,0.05691
4,TS,Mid,0.095802
4,TS,Mid,0.073296
4,JS,Mid,0.20359
4,JS,Mid,0.075878
4,JS,Mid,0.10276
4,JS,Mid,0.086241
4,JS,Mid,0.075655
4,JS,Mid,0.056628
4,JS,Mid,0.099146
4,JS,Mid,0.049908
4,JS,Mid,0.15391
4,JS,Mid,0.064527
5,AB,Mid,0.028442
5,AB,Mid,0.048355
5,AB,Mid,0.041648
5,AB,Mid,0.021965
5,AB,Mid,0.033137
5,AB,Mid,0.0076612
5,AB,Mid,0.0094778
5,AB,Mid,0.04228
5,AB,Mid,0.023651
5,AB,Mid,0.036918
5,EP,Mid,0.051393
5,EP,Mid,0.077584
5,EP,Mid,0.081877
5,EP,Mid,0.059516
5,EP,Mid,0.075572
5,EP,Mid,0.052344
5,EP,Mid,0.043194
5,EP,Mid,0.086744
5,EP,Mid,0.10298
5,EP,Mid,0.13045
5,TS,Mid,0.14312
5,TS,Mid,0.09922
5,TS,Mid,0.076095
5,TS,Mid,0.060615
5,TS,Mid,0.036635
5,TS,Mid,0.018586
5,TS,Mid,0.060117
5,TS,Mid,0.030246
5,TS,Mid,0.0097636
5,TS,Mid,0.029452
5,JS,Mid,0.066173
5,JS,Mid,0.081221
5,JS,Mid,0.074393
5,JS,Mid,0.076175
5,JS,Mid,0.032677
5,JS,Mid,0.10842
5,JS,Mid,0.16888
5,JS,Mid,0.11072
5,JS,Mid,0.062202
5,JS,Mid,0.134
6,AB,Mid,0.057849
6,AB,Mid,0.038156
6,AB,Mid,0.042081
6,AB,Mid,0.066918
6,AB,Mid,0.072825
6,AB,Mid,0.06399
6,AB,Mid,0.071898
6,AB,Mid,0.098566
6,AB,Mid,0.090609
6,AB,Mid,0.09483
6,EP,Mid,0.10325
6,EP,Mid,0.055187
6,EP,Mid,0.10747
6,EP,Mid,0.07267
6,EP,Mid,0.1256
6,EP,Mid,0.077465
6,EP,Mid,0.12334
6,EP,Mid,0.098296
6,EP,Mid,0.08492
6,EP,Mid,0.089959
6,TS,Mid,0.022645
6,TS,Mid,0.085573
6,TS,Mid,0.0076451
6,TS,Mid,0.037748
6,TS,Mid,0.052522
6,TS,Mid,0.084576
6,TS,Mid,0.026408
6,TS,Mid,0.058725
6,TS,Mid,0.05945
6,TS,Mid,0.028288
6,JS,Mid,0.077699
6,JS,Mid,0.094863
6,JS,Mid,0.10287
6,JS,Mid,0.12033
6,JS,Mid,0.10666
6,JS,Mid,0.07893
6,JS,Mid,0.090712
6,JS,Mid,0.071989
6,JS,Mid,0.091544
6,JS,Mid,0.10641
7,AB,Mid,0.12758
7,AB,Mid,0.077386
7,AB,Mid,0.097567
7,AB,Mid,0.057741
7,AB,Mid,0.05795
7,AB,Mid,0.080585
7,AB,Mid,0.068251
7,AB,Mid,0.074948
7,AB,Mid,0.061333
7,AB,Mid,0.0568
7,EP,Mid,0.11496
7,EP,Mid,0.13581
7,EP,Mid,0.15934
7,EP,Mid,0.12208
7,EP,Mid,0.14826
7,EP,Mid,0.1274
7,EP,Mid,0.10956
7,EP,Mid,0.097603
7,EP,Mid,0.10048
7,EP,Mid,0.10094
7,TS,Mid,0.053496
7,TS,Mid,0.056447
7,TS,Mid,0.058937
7,TS,Mid,0.04176
7,TS,Mid,0.049647
7,TS,Mid,0.090965
7,TS,Mid,0.076141
7,TS,Mid,0.052357
7,TS,Mid,0.07337
7,TS,Mid,0.01955
7,JS,Mid,0.08706
7,JS,Mid,0.09859
7,JS,Mid,0.079922
7,JS,Mid,0.077228
7,JS,Mid,0.081033
7,JS,Mid,0.090973
7,JS,Mid,0.084703
7,JS,Mid,0.12589
7,JS,Mid,0.092273
7,JS,Mid,0.05892
8,AB,Mid,0.057651
8,AB,Mid,0.033944
8,AB,Mid,0.067618
8,AB,Mid,0.049341
8,AB,Mid,0.080911
8,AB,Mid,0.069395
8,AB,Mid,0.046733
8,AB,Mid,0.026291
8,AB,Mid,0.046398
8,AB,Mid,0.018121
8,EP,Mid,0.090383
8,EP,Mid,0.10983
8,EP,Mid,0.049235
8,EP,Mid,0.056558
8,EP,Mid,0.059282
8,EP,Mid,0.084951
8,EP,Mid,0.054654
8,EP,Mid,0.061722
8,EP,Mid,0.031567
8,EP,Mid,0.053137
8,TS,Mid,0.079797
8,TS,Mid,0.097982
8,TS,Mid,0.075112
8,TS,Mid,0.099492
8,TS,Mid,0.02278
8,TS,Mid,0.037357
8,TS,Mid,0.14707
8,TS,Mid,0.13831
8,TS,Mid,0.096848
8,TS,Mid,0.022964
8,JS,Mid,0.081403
8,JS,Mid,0.1027
8,JS,Mid,0.11105
8,JS,Mid,0.047987
8,JS,Mid,0.16755
8,JS,Mid,0.12678
8,JS,Mid,0.057133
8,JS,Mid,0.18722
8,JS,Mid,0.11993
8,JS,Mid,0.090673
9,AB,Mid,0.079507
9,AB,Mid,0.069606
9,AB,Mid,0.031114
