sub_num,case_nm,target,s_h
10,TS,Close,-3.0943
10,TS,Close,-1.9993
10,TS,Close,-1.5719
10,TS,Close,-2.3494
10,JS,Close,-1.7751
10,JS,Close,-2.1439
10,JS,Close,-2.306
10,JS,Close,-2.2253
10,JS,Close,-2.1949
10,JS,Close,-2.0183
10,JS,Close,-2.1015
10,JS,Close,-2.006
10,JS,Close,-2.2041
10,JS,Close,-2.1249
11,AB,Close,-1.7949
11,AB,Close,-1.4722
11,AB,Close,-1.4115
11,AB,Close,-1.3914
11,AB,Close,-1.3952
11,AB,Close,-3.5319
11,AB,Close,-2.4537
11,AB,Close,-1.4008
11,AB,Close,-1.463
11,AB,Close,-1.4302
11,EP,Close,-2.935
11,EP,Close,-1.9782
11,EP,Close,-1.8648
11,EP,Close,-6.8017
11,EP,Close,-1.8824
11,EP,Close,-3.1652
11,EP,Close,-1.8144
11,EP,Close,-1.6825
11,EP,Close,-1.8414
11,EP,Close,-1.6328
11,TS,Close,-1.7941
11,TS,Close,-2.0791
11,TS,Close,-1.6149
11,TS,Close,-1.81
11,TS,Close,-1.5913
11,TS,Close,-1.6307
11,TS,Close,-1.8383
11,TS,Close,-4.0645
11,TS,Close,-1.5985
11,TS,Close,-1.7279
11,JS,Close,-1.7917
11,JS,Close,-1.5897
11,JS,Close,-1.7406
11,JS,Close,-1.6254
11,JS,Close,-2.536
11,JS,Close,-1.6862
11,JS,Close,-1.9566
11,JS,Close,-1.7059
11,JS,Close,-1.7676
11,JS,Close,-1.7112
12,AB,Close,-1.5168
12,AB,Close,-1.5303
12,AB,Close,-1.4153
12,AB,Close,-1.6414
12,AB,Close,-1.3988
12,AB,Close,-1.4005
12,AB,Close,-1.5636
12,AB,Close,-1.4043
12,AB,Close,-1.4075
12,AB,Close,-1.3932
12,EP,Close,-2.2306
12,EP,Close,-1.7893
12,EP,Close,-1.954
12,EP,Close,-1.6496
12,EP,Close,-1.4256
12,EP,Close,-1.9933
12,EP,Close,-1.5801
12,EP,Close,-1.9132
12,EP,Close,-1.9841
12,EP,Close,-1.5159
12,TS,Close,-1.4463
12,TS,Close,-1.8072
12,TS,Close,-1.7951
12,TS,Close,-1.8358
12,TS,Close,-1.7313
12,TS,Close,-1.8191
12,TS,Close,-1.6905
12,TS,Close,-1.824
12,TS,Close,-1.8333
12,TS,Close,-1.6795
12,JS,Close,-1.7626
12,JS,Close,-1.8362
12,JS,Close,-1.7421
12,JS,Close,-1.9014
12,JS,Close,-1.6912
12,JS,Close,-1.8426
12,JS,Close,-1.6636
12,JS,Close,-1.5519
12,JS,Close,-1.8718
12,JS,Close,-1.8708
13,AB,Close,-1.4577
13,AB,Close,-1.7345
13,AB,Close,-1.7781
13,AB,Close,-1.5112
13,AB,Close,-1.4155
13,AB,Close,-1.5099
13,AB,Close,-1.5191
13,AB,Close,-1.4093
13,AB,Close,-1.751
13,AB,Close,-1.5079
13,EP,Close,-2.2702
13,EP,Close,-1.908
13,EP,Close,-1.8053
13,EP,Close,-1.9128
13,EP,Close,-1.4832
13,EP,Close,-1.6028
13,EP,Close,-1.5688
13,EP,Close,-1.8659
13,EP,Close,-1.9856
13,EP,Close,-1.6931
13,TS,Close,-2.7658
13,TS,Close,-2.8839
13,TS,Close,-2.365
13,TS,Close,-1.8771
13,TS,Close,-1.8469
13,TS,Close,-2.1634
13,TS,Close,-2.0434
13,TS,Close,-2.01
13,TS,Close,-1.8697
13,TS,Close,-3.333
13,JS,Close,-1.9875
13,JS,Close,-2.5762
13,JS,Close,-3.3085
13,JS,Close,-2.9929
13,JS,Close,-1.8515
13,JS,Close,-3.3407
13,JS,Close,-1.8591
13,JS,Close,-1.8076
13,JS,Close,-2.2379
13,JS,Close,-1.8067
14,AB,Close,-1.4092
14,AB,Close,-1.4487
14,AB,Close,-1.6556
14,AB,Close,-1.468
14,AB,Close,-1.7091
14,AB,Close,-1.4052
14,AB,Close,-1.6372
14,AB,Close,-1.4661
14,AB,Close,-1.5655
14,AB,Close,-1.3994
14,EP,Close,-1.9278
14,EP,Close,-3.7108
14,EP,Close,-1.9032
14,EP,Close,-2.364
14,EP,Close,-2.3823
14,EP,Close,-2.6647
14,EP,Close,-2.9172
14,EP,Close,-2.0113
14,EP,Close,-1.9346
14,EP,Close,-2.2535
14,TS,Close,-2.1398
14,TS,Close,-1.7715
14,TS,Close,-2.7627
14,TS,Close,-3.7758
14,TS,Close,-2.1737
14,TS,Close,-1.9147
14,TS,Close,-2.1597
14,TS,Close,-1.9807
