sub_num,case_nm,target,iteration,hdiff
1,JS,Far,13,137.52722
1,JS,Far,14,240.01968
1,JS,Far,15,56.303802
1,JS,Far,16,108.78916
1,JS,Far,17,255.43747
1,JS,Far,19,272.73859
1,JS,Far,20,380.0364
1,JS,Far,21,79.132724
1,JS,Far,22,78.988673
1,JS,Far,23,83.843089
1,JS,Far,24,211.81277
1,JS,Far,25,218.50806
1,JS,Far,26,65.893268
1,JS,Far,27,471.31035
1,JS,Far,28,58.606586
1,JS,Far,29,121.05128
1,JS,Far,30,133.95882
1,JS,High,1,60.30113
1,JS,High,2,466.0038
1,JS,High,3,456.6875
1,JS,High,4,621.807
1,JS,High,5,217.9716
1,JS,High,6,245.0004
1,JS,High,7,569.2362
1,JS,High,8,374.744
1,JS,High,9,423.6804
1,JS,High,10,65.23514
1,JS,High,12,376.7713
1,JS,High,13,95.49016
1,JS,High,14,51.12917
1,JS,High,15,198.9669
1,JS,High,16,147.5649
1,JS,High,17,119.1875
1,JS,High,19,172.8393
1,JS,High,20,413.1814
1,JS,High,21,128.1606
1,JS,High,22,159.3751
1,JS,High,23,289.0101
1,JS,High,24,377.7272
1,JS,High,25,135.3831
1,JS,High,26,216.8613
1,JS,High,27,230.5847
1,JS,High,28,82.54466
1,JS,High,29,101.7483
1,JS,High,30,93.58424
1,EP,Far,11,173.4972
1,JS,Mid,11,168.6555
1,TS,Far,11,137.3096
1,TS,Close,11,126.0047
1,EP,High,11,88.3295
1,EP,Mid,11,35.81649
1,EP,Close,11,34.17246
1,JS,Close,11,33.78543
1,TS,Mid,11,32.48827
1,TS,Close,18,148.2914
1,JS,Close,18,126.3435
1,EP,Close,18,119.1132
1,JS,Far,18,116.06409
1,EP,Far,18,101.6358
1,TS,Mid,18,100.5167
1,EP,High,18,84.96486
1,JS,Mid,18,73.58749
1,TS,Far,18,66.54506
1,TS,High,18,55.15199
1,EP,Mid,18,31.73196
2,JS,Close,18,169.3066
2,EP,Far,11,105.329977
2,EP,Close,1,58.36862
2,EP,Close,2,143.9184
2,EP,Close,3,123.5467
2,EP,Close,4,112.5529
2,EP,Close,5,79.61678
2,EP,Close,6,84.14462
2,EP,Close,7,178.0894
2,EP,Close,8,62.93923
2,EP,Close,9,295.4885
2,EP,Close,10,95.40738
2,EP,Close,12,131.917
2,EP,Close,13,85.03228
2,EP,Close,14,95.34885
2,EP,Close,15,109.5713
2,EP,Close,16,93.7508
2,EP,Close,17,93.46514
2,EP,Close,19,82.04087
2,EP,Close,20,120.7234
2,EP,Close,21,84.00647
2,EP,Close,22,114.4716
